rep,seqtype,line,period,spec
rep1,rna,Ara-2,2.5263157894736845,17881.955280499362
rep1,rna,Ara-2,2.4827586206896552,10520.530731419873
rep1,rna,Ara-2,2.4406779661016955,79221.98894189348
rep1,rna,Ara-2,2.4000000000000004,20637.731385685565
rep1,rna,Ara-2,2.3606557377049184,6045.546785744763
rep1,rna,Ara-2,2.3225806451612905,44571.18030555399
rep1,rna,Ara-2,2.285714285714286,42305.43858682211
rep1,rna,Ara-2,2.25,38953.570736250884
rep1,rna,Ara-2,2.2153846153846155,43786.34517550351
rep1,rna,Ara-2,2.181818181818182,12425.274031782374
rep1,rna,Ara-2,2.1492537313432836,37331.868541495765
rep1,rna,Ara-2,2.11764705882353,13100.48250179912
rep1,rna,Ara-2,2.0869565217391304,14917.15572945446
rep1,rna,Ara-2,2.0571428571428574,604.3423274840252
rep1,rna,Ara-2,2.028169014084507,19644.441158023772
rep1,rna,Ara-2,2.0000000000000004,30848.405042578863
rep1,rna,Ara-3,4,6651.84264367178
rep1,rna,Ara-3,3.891891891891892,12001.68198020653
rep1,rna,Ara-3,3.789473684210527,10560.86783289915
rep1,rna,Ara-3,3.6923076923076925,1397.9193590151197
rep1,rna,Ara-3,3.6000000000000005,13650.333162540182
rep1,rna,Ara-3,3.5121951219512195,833.9370017494365
rep1,rna,Ara-3,3.428571428571429,1339.2346522658634
rep1,rna,Ara-3,3.348837209302326,691.1702393137338
rep1,rna,Ara-3,3.272727272727273,17230.987432834543
rep1,rna,Ara-3,3.2000000000000006,33811.378481845364
rep1,rna,Ara-3,3.130434782608696,1082.0065679054076
rep1,rna,Ara-3,3.063829787234043,4710.657362082106
rep1,rna,Ara-3,3,165260.8418133851
rep1,rna,Ara-3,2.938775510204082,937.4278473563237
rep1,rna,Ara-3,2.880000000000001,4023.2578159747245
rep1,rna,Ara-3,2.823529411764706,18747.68859200824
rep1,rna,Ara-3,2.7692307692307696,11486.572709581367
rep1,rna,Ara-3,2.716981132075472,2101.14921022163
rep1,rna,Ara-3,2.666666666666667,3256.344867562471
rep1,rna,Ara-3,2.618181818181818,3413.76810134509
rep1,rna,Ara-3,2.5714285714285716,2252.254673072109
rep1,rna,Ara-3,2.5263157894736845,730.6386884968521
rep1,rna,Ara-3,2.4827586206896552,617.7166081828003
rep1,rna,Ara-3,2.4406779661016955,4282.246430486571
rep1,rna,Ara-3,2.4000000000000004,649.2254762042719
rep1,rna,Ara-3,2.3606557377049184,2490.5361663373087
rep1,rna,Ara-3,2.3225806451612905,3757.3940074055367
rep1,rna,Ara-3,2.285714285714286,1388.1771707222085
rep1,rna,Ara-3,2.25,3500.472677504475
rep1,rna,Ara-3,2.2153846153846155,6365.594758991624
rep1,rna,Ara-3,2.181818181818182,3118.6261839905287
rep1,rna,Ara-3,2.1492537313432836,320.46616496913464
rep1,rna,Ara-3,2.11764705882353,181.96503517877468
rep1,rna,Ara-3,2.0869565217391304,2700.133214814098
