line,target_id,n
AraM1,ECB_00289,1
AraM1,ECB_00290,1
AraM1,ECB_00291,1
AraM1,ECB_00292,1
AraM1,ECB_00293,1
AraM1,ECB_00294,1
AraM1,ECB_00295,1
AraM1,ECB_00296,1
AraM1,ECB_00297,1
AraM1,ECB_00298,1
AraM1,ECB_00299,1
AraM1,ECB_00300,1
AraM1,ECB_00301,1
AraM1,ECB_00302,1
AraM1,ECB_00303,1
AraM1,ECB_00304,1
AraM1,ECB_00305,1
AraM1,ECB_00306,1
AraM1,ECB_00307,1
AraM1,ECB_00308,1
AraM1,ECB_00309,1
AraM1,ECB_00310,1
AraM1,ECB_00311,1
AraM1,ECB_00312,1
AraM1,ECB_00313,1
AraM1,ECB_00314,1
AraM1,ECB_00315,1
AraM1,ECB_00316,1
AraM1,ECB_00317,1
AraM1,ECB_00318,1
AraM1,ECB_00319,1
AraM1,ECB_00320,1
AraM1,ECB_00321,1
AraM1,ECB_00322,1
AraM1,ECB_00323,1
AraM1,ECB_00324,1
AraM1,ECB_00325,1
AraM1,ECB_00326,1
AraM1,ECB_00327,1
AraM1,ECB_00328,1
AraM1,ECB_00329,1
AraM1,ECB_00330,1
AraM1,ECB_00331,1
AraM1,ECB_00332,1
AraM1,ECB_00333,1
AraM1,ECB_00334,1
AraM1,ECB_00335,1
AraM1,ECB_00336,1
AraM1,ECB_00337,1
AraM1,ECB_00338,1
AraM1,ECB_00339,1
AraM1,ECB_00340,1
AraM1,ECB_00341,1
AraM1,ECB_00342,1
AraM1,ECB_00343,1
AraM1,ECB_00344,1
AraM1,ECB_00345,1
AraM1,ECB_00346,1
AraM1,ECB_00347,1
AraM1,ECB_00348,1
AraM1,ECB_00349,1
AraM1,ECB_00350,1
AraM1,ECB_00351,1
AraM1,ECB_00353,1
AraM1,ECB_00354,1
AraM1,ECB_00355,1
AraM1,ECB_00356,1
AraM1,ECB_00357,1
AraM1,ECB_00358,1
AraM1,ECB_00359,1
AraM1,ECB_00360,1
AraM1,ECB_00361,1
AraM1,ECB_00362,1
AraM1,ECB_00363,1
AraM1,ECB_00364,1
AraM1,ECB_00365,1
AraM1,ECB_00366,1
AraM1,ECB_00367,1
AraM1,ECB_00368,1
AraM1,ECB_00369,1
AraM1,ECB_00370,1
AraM1,ECB_00371,1
AraM1,ECB_00372,1
AraM1,ECB_00373,1
AraM1,ECB_00374,1
AraM1,ECB_00375,1
AraM1,ECB_00376,1
AraM1,ECB_00377,1
