line,target_id
Ara-3,ECB_00770
Ara-3,ECB_00775
Ara-3,ECB_00845
Ara-3,ECB_00898
Ara-3,ECB_00929
Ara-3,ECB_00944
Ara-3,ECB_00945
Ara-3,ECB_01078
Ara-3,ECB_01193
Ara-3,ECB_01345
Ara-3,ECB_01357
Ara-3,ECB_01358
Ara-3,ECB_01367
Ara-3,ECB_01368
Ara-3,ECB_01369
Ara-3,ECB_01370
Ara-3,ECB_01371
Ara-3,ECB_01372
Ara-3,ECB_01373
Ara-3,ECB_01374
Ara-3,ECB_01375
Ara-3,ECB_01376
Ara-3,ECB_01377
Ara-3,ECB_01378
Ara-3,ECB_01385
Ara-3,ECB_01467
Ara-3,ECB_01510
Ara-3,ECB_01512
Ara-3,ECB_01513
Ara-3,ECB_01514
Ara-3,ECB_01515
Ara-3,ECB_01516
Ara-3,ECB_01517
Ara-3,ECB_01518
Ara-3,ECB_01519
Ara-3,ECB_01520
Ara-3,ECB_01521
Ara-3,ECB_01522
Ara-3,ECB_01523
Ara-3,ECB_01524
Ara-3,ECB_01525
Ara-3,ECB_01615
Ara-3,ECB_01620
Ara-3,ECB_01632
Ara-3,ECB_01640
Ara-3,ECB_01642
Ara-3,ECB_01643
Ara-3,ECB_01701
Ara-3,ECB_01894
Ara-3,ECB_01906
Ara-3,ECB_01932
Ara-3,ECB_01933
Ara-3,ECB_01934
Ara-3,ECB_01935
Ara-3,ECB_01936
Ara-3,ECB_01937
Ara-3,ECB_01938
Ara-3,ECB_01939
Ara-3,ECB_01940
Ara-3,ECB_01941
Ara-3,ECB_01942
Ara-3,ECB_01943
Ara-3,ECB_01944
Ara-3,ECB_01945
Ara-3,ECB_01946
Ara-3,ECB_01947
Ara-3,ECB_01948
Ara-3,ECB_01949
Ara-3,ECB_01950
Ara-3,ECB_01951
Ara-3,ECB_01952
Ara-3,ECB_01953
Ara-3,ECB_01954
Ara-3,ECB_01979
Ara-3,ECB_01980
Ara-3,ECB_01981
Ara-3,ECB_01982
Ara-3,ECB_01983
Ara-3,ECB_01984
Ara-3,ECB_01985
Ara-3,ECB_01986
Ara-3,ECB_01987
Ara-3,ECB_01988
Ara-3,ECB_01989
Ara-3,ECB_01990
Ara-3,ECB_01991
Ara-3,ECB_01992
Ara-3,ECB_01993
Ara-3,ECB_01994
Ara-3,ECB_01995
Ara-3,ECB_01996
Ara-3,ECB_01997
Ara-3,ECB_01998
Ara-3,ECB_01999
Ara-3,ECB_02000
Ara-3,ECB_02001
Ara-3,ECB_02002
Ara-3,ECB_02003
Ara-3,ECB_02004
Ara-3,ECB_02005
Ara-3,ECB_02006
Ara-3,ECB_02007
Ara-3,ECB_02008
Ara-3,ECB_02009
Ara-3,ECB_02010
Ara-3,ECB_02011
Ara-3,ECB_02012
Ara-3,ECB_02013
Ara-3,ECB_02078
Ara-3,ECB_02083
Ara-3,ECB_02128
Ara-3,ECB_02188
Ara-3,ECB_02238
Ara-3,ECB_02299
Ara-3,ECB_02448
Ara-3,ECB_02481
Ara-3,ECB_02483
Ara-3,ECB_02509
Ara-3,ECB_02525
Ara-3,ECB_02579
Ara-3,ECB_02641
Ara-3,ECB_02683
Ara-3,ECB_02690
Ara-3,ECB_02691
Ara-3,ECB_02692
Ara-3,ECB_02693
Ara-3,ECB_02694
Ara-3,ECB_02697
Ara-3,ECB_02698
Ara-3,ECB_02699
Ara-3,ECB_02700
Ara-3,ECB_02701
Ara-3,ECB_02702
Ara-3,ECB_02703
Ara-3,ECB_02704
Ara-3,ECB_02705
Ara-3,ECB_02706
Ara-3,ECB_02707
Ara-3,ECB_02708
Ara-3,ECB_02709
Ara-3,ECB_02710
Ara-3,ECB_02711
Ara-3,ECB_02712
Ara-3,ECB_02713
Ara-3,ECB_02714
Ara-3,ECB_02715
Ara-3,ECB_02816
Ara-3,ECB_02817
Ara-3,ECB_02818
Ara-3,ECB_02819
Ara-3,ECB_02820
Ara-3,ECB_02821
Ara-3,ECB_02822
Ara-3,ECB_02823
Ara-3,ECB_02824
Ara-3,ECB_02825
Ara-3,ECB_02826
Ara-3,ECB_02827
Ara-3,ECB_02828
Ara-3,ECB_02829
Ara-3,ECB_02831
Ara-3,ECB_02832
Ara-3,ECB_02833
Ara-3,ECB_02834
Ara-3,ECB_02835
Ara-3,ECB_02836
Ara-3,ECB_02846
Ara-3,ECB_02882
Ara-3,ECB_02933
Ara-3,ECB_02980
Ara-3,ECB_02981
Ara-3,ECB_02982
Ara-3,ECB_02983
Ara-3,ECB_02984
Ara-3,ECB_03028
Ara-3,ECB_03043
Ara-3,ECB_03074
Ara-3,ECB_03136
Ara-3,ECB_03176
Ara-3,ECB_03296
Ara-3,ECB_03424
Ara-3,ECB_03433
Ara-3,ECB_03434
Ara-3,ECB_03435
Ara-3,ECB_03448
Ara-3,ECB_03634
Ara-3,ECB_03635
Ara-3,ECB_03636
Ara-3,ECB_03637
Ara-3,ECB_03638
Ara-3,ECB_03639
Ara-3,ECB_03640
Ara-3,ECB_03795
Ara-3,ECB_03826
Ara-3,ECB_03958
Ara-3,ECB_03959
Ara-3,ECB_03960
Ara-3,ECB_03961
Ara-3,ECB_03962
Ara-3,ECB_03963
Ara-3,ECB_03964
Ara-3,ECB_03965
Ara-3,ECB_03966
Ara-3,ECB_03967
Ara-3,ECB_03968
Ara-3,ECB_03969
Ara-3,ECB_03970
Ara-3,ECB_03971
Ara-3,ECB_03972
Ara-3,ECB_03973
Ara-3,ECB_03974
Ara-3,ECB_03975
Ara-3,ECB_03976
Ara-3,ECB_03977
Ara-3,ECB_03978
Ara-3,ECB_03979
Ara-3,ECB_03980
Ara-3,ECB_03981
Ara-3,ECB_03982
Ara-3,ECB_03983
Ara-3,ECB_03984
Ara-3,ECB_03985
Ara-3,ECB_03986
Ara-3,ECB_03987
Ara-3,ECB_03988
Ara-3,ECB_03989
Ara-3,ECB_03990
Ara-3,ECB_03991
Ara-3,ECB_03992
Ara-3,ECB_03993
Ara-3,ECB_03994
Ara-3,ECB_03995
Ara-3,ECB_03997
Ara-3,ECB_03998
Ara-3,ECB_03999
Ara-3,ECB_04000
Ara-3,ECB_04054
Ara-3,ECB_04080
Ara-3,ECB_04092
Ara-3,ECB_04107
Ara-3,ECB_04108
Ara-3,ECB_04109
Ara-3,ECB_04110
Ara-3,ECB_04114
Ara-3,ECB_04182
Ara-3,ECB_04183
Ara-3,ECB_04184
Ara-3,ECB_04185
Ara-3,ECB_04186
Ara-3,ECB_04187
Ara-3,ECB_04188
Ara-3,ECB_04189
Ara-3,ECB_04190
Ara-3,ECB_04191
Ara-3,ECB_04192
Ara-3,ECB_04193
Ara-3,ECB_04194
Ara-3,ECB_04195
Ara-3,ECB_04196
Ara-3,ECB_04197
Ara-3,ECB_04198
Ara-3,ECB_04199
Ara-3,ECB_04200
Ara-3,ECB_04201
Ara-3,ECB_04202
Ara-3,ECB_04203
Ara-3,ECB_04204
Ara-3,ECB_04205
Ara-3,ECB_04206
Ara-3,ECB_04207
Ara-3,ECB_04208
Ara-3,ECB_04209
Ara-3,ECB_04211
Ara-3,ECB_04212
Ara-3,ECB_04213
Ara-3,ECB_04214
Ara-3,ECB_04215
Ara-3,ECB_04216
Ara-3,ECB_04217
Ara-3,ECB_04218
Ara-3,ECB_04219
Ara-3,ECB_04220
Ara-3,ECB_04221
Ara-3,ECB_04222
Ara-3,ECB_04223
Ara-3,ECB_04224
Ara-3,ECB_04225
Ara-3,ECB_04226
Ara-3,ECB_04227
Ara-3,ECB_04228
Ara-3,ECB_04229
Ara-3,ECB_04230
Ara-3,ECB_04231
Ara-3,ECB_04232
Ara-3,ECB_04233
Ara-3,ECB_04235
Ara-3,ECB_04236
Ara-3,glyU
Ara-4,ECB_00041
Ara-4,ECB_00063
Ara-4,ECB_00110
Ara-4,ECB_00145
Ara-4,ECB_00154
Ara-4,ECB_00159
Ara-4,ECB_00212
Ara-4,ECB_00223
Ara-4,ECB_00242
Ara-4,ECB_00300
Ara-4,ECB_00329
Ara-4,ECB_00359
Ara-4,ECB_00506
Ara-4,ECB_00507
Ara-4,ECB_00508
Ara-4,ECB_00509
Ara-4,ECB_00510
Ara-4,ECB_00511
Ara-4,ECB_00512
Ara-4,ECB_00513
Ara-4,ECB_00514
Ara-4,ECB_00515
Ara-4,ECB_00516
Ara-4,ECB_00517
Ara-4,ECB_00518
Ara-4,ECB_00519
Ara-4,ECB_00520
Ara-4,ECB_00521
Ara-4,ECB_00522
Ara-4,ECB_00524
Ara-4,ECB_00525
Ara-4,ECB_00526
Ara-4,ECB_00527
Ara-4,ECB_00528
Ara-4,ECB_00529
Ara-4,ECB_00530
Ara-4,ECB_00531
Ara-4,ECB_00532
Ara-4,ECB_00533
Ara-4,ECB_00534
Ara-4,ECB_00535
Ara-4,ECB_00536
Ara-4,ECB_00537
Ara-4,ECB_00538
Ara-4,ECB_00539
Ara-4,ECB_00540
Ara-4,ECB_00541
Ara-4,ECB_00542
Ara-4,ECB_00543
Ara-4,ECB_00545
Ara-4,ECB_00546
Ara-4,ECB_00547
Ara-4,ECB_00548
Ara-4,ECB_00549
Ara-4,ECB_00550
Ara-4,ECB_00551
Ara-4,ECB_00552
Ara-4,ECB_00553
Ara-4,ECB_00554
Ara-4,ECB_00555
Ara-4,ECB_00556
Ara-4,ECB_00557
Ara-4,ECB_00558
Ara-4,ECB_00559
Ara-4,ECB_00560
Ara-4,ECB_00561
Ara-4,ECB_00562
Ara-4,ECB_00563
Ara-4,ECB_00564
Ara-4,ECB_00566
Ara-4,ECB_00567
Ara-4,ECB_00568
Ara-4,ECB_00569
Ara-4,ECB_00570
Ara-4,ECB_00571
Ara-4,ECB_00572
Ara-4,ECB_00573
